iter	RMSE
0	77724.47387
1	73467.68567
2	70130.17415
3	66436.40824
4	63670.08514
5	61095.81641
6	58960.85497
7	56762.82959
8	54913.4207
9	53170.45848
10	51541.52087
11	49986.55594
12	48937.71364
13	47755.71362
14	46796.36268
15	45901.88085
16	45287.2165
17	44428.81818
18	43553.41978
19	42816.33204
20	42178.6115
21	41695.90491
22	41225.52865
23	40993.60343
24	40661.55626
25	40224.97596
26	39894.87035
27	39528.65338
28	39308.44127
29	39027.21693
30	38782.32688
31	38579.74834
32	38343.74516
33	38064.33324
34	37907.97026
35	37706.14736
36	37549.05951
37	37433.56004
38	37273.8197
39	37102.81416
40	37031.01656
41	36906.11588
42	36769.70757
43	36630.77488
44	36523.81295
45	36377.47623
46	36275.01949
47	36111.313
48	35998.53966
49	35905.17982
50	35833.17905
51	35737.63643
52	35649.46227
53	35577.57382
54	35376.94542
55	35287.9481
56	35171.35811
57	35066.14697
58	34924.72439
59	34823.34598
60	34756.1025
61	34751.59536
62	34747.31132
63	34653.53809
64	34579.32151
65	34499.72287
66	34357.56262
67	34280.40714
68	34179.09659
69	34093.86388
70	34090.25074
71	34012.97996
72	33969.3396
73	33906.87111
74	33813.92601
75	33755.02876
76	33701.71371
77	33655.21003
78	33580.48176
79	33537.52757
80	33479.38223
81	33389.19092
82	33252.71919
83	33212.35538
84	33098.95797
85	33059.35588
86	33022.77536
87	32907.31671
88	32873.90453
89	32810.46001
90	32727.89857
91	32663.20476
92	32591.92303
93	32488.30104
94	32408.83627
95	32330.96263
96	32259.0114
97	32224.40782
98	32191.89675
99	32150.43291
100	32124.17979
101	32066.51436
102	32031.38846
103	31996.28328
104	31957.73865
105	31881.61801
106	31854.95484
107	31814.53789
108	31768.68794
109	31764.29389
110	31740.6027
111	31719.83055
112	31618.61507
113	31598.77533
114	31580.95544
115	31545.31323
116	31505.77143
117	31469.79895
118	31377.45458
119	31358.28834
120	31246.97438
121	31217.32467
122	31184.99071
123	31109.78884
124	30981.56858
125	30964.09334
126	30886.27898
127	30812.78222
128	30795.55986
129	30762.12661
130	30744.43554
131	30698.2728
132	30638.88618
133	30565.89978
134	30503.8294
135	30413.99519
136	30389.37661
137	30326.16008
138	30246.86743
139	30213.44
140	30145.51511
141	30133.08587
142	30065.44703
143	30048.62264
144	29947.57638
145	29865.74121
146	29802.59632
147	29718.75597
148	29638.78736
149	29627.81595
150	29603.41578
151	29559.25132
152	29546.89625
153	29524.96468
154	29471.73833
155	29421.34377
156	29373.72628
157	29311.77579
158	29273.55522
159	29179.51349
160	29101.72874
161	29068.25475
162	29050.37785
163	28988.40849
164	28971.14219
165	28912.28305
166	28856.57691
167	28799.66103
168	28757.21532
169	28735.54243
170	28691.94586
171	28679.80089
